,0
num_years_antig,int64
nb_prod_act,int64
cons_12m,int64
cons_gas_12m,int64
cons_last_month,int64
forecast_cons_year,int64
forecast_cons,float64
net_margin,float64
margin_net_pow_ele,float64
margin_gross_pow_ele,float64
imp_cons,float64
forecast_price_pow_p1,float64
forecast_price_energy_p2,float64
forecast_price_energy_p1,float64
forecast_meter_rent_12m,float64
forecast_discount_energy,float64
pow_max,float64
forecast_bill_12m,float64
forecast_base_bill_year,float64
forecast_base_bill_ele,float64
campaign_disc_ele,float64
forecast_cons_12m,float64
origin_up,object
date_renewal,object
date_modif_prod,object
has_gas,object
date_first_activ,object
date_end,object
date_activ,object
channel_sales,object
activity_new,object
id,object
